from,to,meters,highway,surface,incline,sidewalk,maxspeed,name
osm53290437,osm53290420,176.62,service,,,,,
osm53290444,osm53290448,116.22,service,,,,,
osm53290448,osm53290444,116.22,service,,,,,
osm1391044103,osm1391045709,30.92,motorway_link,asphalt,,,,
osm496905837,osm53290613,368.32,service,asphalt,,,,
osm53290613,osm496905837,368.32,service,asphalt,,,,
osm53290613,osm53290613,947.44,service,asphalt,,,,
osm53290613,osm53290613,947.44,service,asphalt,,,,
osm53290647,osm53290657,23.9,residential,,,,,Fordem Court
osm53290657,osm53290647,23.9,residential,,,,,Fordem Court
osm53290657,osm5874035735,131.47,residential,,,,,Fordem Court
osm5874035735,osm53290657,131.47,residential,,,,,Fordem Court
osm5874035735,osm496686159,9.15,residential,,,,,Fordem Court
osm496686159,osm5874035735,9.15,residential,,,,,Fordem Court
osm53290420,osm53290915,86.27,service,,,,,
osm53290915,osm53290420,86.27,service,,,,,
osm53290915,osm53290921,69.86,service,,,,,
osm53290921,osm53290915,69.86,service,,,,,
osm53291084,osm3750106017,8.47,service,,,,,
osm3750106017,osm53291084,8.47,service,,,,,
osm3750106017,osm53291090,50.29,service,,,,,
osm53291090,osm3750106017,50.29,service,,,,,
osm53291689,osm1224710319,76.3,service,asphalt,,,,
osm1224710319,osm53291689,76.3,service,asphalt,,,,
osm1224710319,osm53291691,93.03,service,asphalt,,,,
osm53291691,osm1224710319,93.03,service,asphalt,,,,
osm53291691,osm53291693,11.71,service,asphalt,,,,
osm53291693,osm53291691,11.71,service,asphalt,,,,
osm1224539755,osm1224539655,35.84,service,asphalt,,,,
osm1224539655,osm1224539755,35.84,service,asphalt,,,,
osm1224539655,osm1224539664,46.24,service,asphalt,,,,
osm1224539664,osm1224539655,46.24,service,asphalt,,,,
osm1224539664,osm1224710359,65.73,service,asphalt,,,,
osm1224710359,osm1224539664,65.73,service,asphalt,,,,
osm1224710359,osm1224710384,38.84,service,asphalt,,,,
osm1224710384,osm1224710359,38.84,service,asphalt,,,,
osm1224710384,osm53291712,29.24,service,asphalt,,,,
osm53291712,osm1224710384,29.24,service,asphalt,,,,
osm53291712,osm53291714,34.72,service,asphalt,,,,
osm53291714,osm53291712,34.72,service,asphalt,,,,
osm53280166,osm8427622075,20.79,service,,,,,
osm8427622075,osm53280166,20.79,service,,,,,
osm8427622075,osm7802960882,29.18,service,,,,,
osm7802960882,osm8427622075,29.18,service,,,,,
osm7802960882,osm558602324,4.17,service,,,,,
osm558602324,osm7802960882,4.17,service,,,,,
osm558602324,osm7802969992,26.07,service,,,,,
osm7802969992,osm558602324,26.07,service,,,,,
osm7802969992,osm1215428460,46.1,service,,,,,
osm1215428460,osm7802969992,46.1,service,,,,,
osm1215428460,osm53291761,55.99,service,,,,,
osm53291761,osm1215428460,55.99,service,,,,,
osm53291761,osm1215428471,33.9,service,,,,,
osm1215428471,osm53291761,33.9,service,,,,,
osm1215428471,osm1215446722,20.51,service,,,,,
osm1215446722,osm1215428471,20.51,service,,,,,
osm1215446722,osm1215446653,19.47,service,,,,,
osm1215446653,osm1215446722,19.47,service,,,,,
osm1215446653,osm1215446711,21.93,service,,,,,
osm1215446711,osm1215446653,21.93,service,,,,,
osm1215446711,osm1215428477,38.16,service,,,,,
osm1215428477,osm1215446711,38.16,service,,,,,
osm53291763,osm6166983796,8.64,service,,,,,
osm6166983796,osm53291763,8.64,service,,,,,
osm6166983796,osm8427959139,36.35,service,,,,,
osm8427959139,osm6166983796,36.35,service,,,,,
osm8427959139,osm53291766,8.82,service,,,,,
osm53291766,osm8427959139,8.82,service,,,,,
osm340004572,osm3295625205,37.94,service,asphalt,,,,
osm3295625205,osm1231443859,18.31,service,asphalt,,,,
osm53293299,osm3397728257,12.35,service,,,,,
osm3397728257,osm53293299,12.35,service,,,,,
osm3397728257,osm53293302,64.23,service,,,,,
